row_index,rebel_threshold,w1,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
86,0.6588525390625,0.04040283203125,77.71000000000001,39.107242296024914,10.6,5.851495535331118
87,0.6588525390625,0.04040283203125,77.71000000000001,39.107242296024914,10.6,5.851495535331118
88,0.6740283203124999,0.01883544921875,77.364,39.0173549077843,11.2,6.209669878504009
89,0.6740283203124999,0.04040283203125,77.63199999999999,39.08592708379833,10.6,5.851495535331118
90,0.5888525390625,0.053835449218750005,88.85,16.572065652778473,9.2,3.655133376499413
91,0.6040283203125,0.053835449218750005,83.80199999999999,28.742513738363247,12.6,2.5768197453450252
92,0.5888525390625,0.07540283203125,96.452,5.102902703364035,8.0,4.0
93,0.5888525390625,0.07540283203125,96.452,5.102902703364035,8.0,4.0
94,0.6040283203125,0.053835449218750005,83.80199999999999,28.742513738363247,12.6,2.5768197453450252
95,0.6040283203125,0.07540283203125,96.682,4.089490921863011,9.4,4.2708313008125245
96,0.5932275390624999,0.021022949218750003,78.05,39.207269734068454,9.8,5.455272678794342
97,0.6871533203125,0.021022949218750003,77.774,39.1251875906046,11.6,6.437390775772433
98,0.5932275390624999,0.01634033203125,78.00399999999999,39.19306142673726,9.8,5.455272678794342
99,0.5932275390624999,0.01634033203125,78.00399999999999,39.19306142673726,9.8,5.455272678794342
100,0.6871533203125,0.021022949218750003,77.774,39.1251875906046,11.6,6.437390775772433
101,0.6871533203125,0.01634033203125,71.838,39.242744246548305,11.6,6.437390775772433
102,0.6632275390625,0.05602294921875001,77.666,39.09514322777191,10.6,5.851495535331118
103,0.6171533203124999,0.05602294921875001,79.5,34.81722045195452,10.4,5.71314274283428
104,0.6632275390625,0.051340332031250005,77.792,39.13030866221221,10.6,5.851495535331118
105,0.6632275390625,0.051340332031250005,77.792,39.13030866221221,10.6,5.851495535331118
106,0.6171533203124999,0.05602294921875001,79.5,34.81722045195452,10.4,5.71314274283428
107,0.6171533203124999,0.051340332031250005,77.55199999999999,39.06470038282644,10.4,5.71314274283428
108,0.6982275390625,0.038522949218750005,77.442,39.03656562762662,11.0,6.099180272790763
109,0.6521533203125,0.038522949218750005,77.84400000000001,39.14528508007062,10.6,5.851495535331118
110,0.6982275390625,0.03384033203125,77.57000000000001,39.06942026700678,11.0,6.099180272790763
111,0.6982275390625,0.03384033203125,77.57000000000001,39.06942026700678,11.0,6.099180272790763
112,0.6521533203125,0.038522949218750005,77.84400000000001,39.14528508007062,10.6,5.851495535331118
113,0.6521533203125,0.03384033203125,77.104,38.95776256408984,10.6,5.851495535331118
114,0.6282275390625,0.07352294921875,87.686,19.50012061501159,12.8,2.6381811916545836
115,0.5821533203125,0.07352294921875,96.24,5.093116923849285,7.6,4.079215610874228
116,0.6282275390625,0.06884033203125,84.858,25.117618039933642,13.8,1.1661903789690602
117,0.6282275390625,0.06884033203125,84.858,25.117618039933642,13.8,1.1661903789690602
118,0.5821533203125,0.07352294921875,96.24,5.093116923849285,7.6,4.079215610874228
119,0.5821533203125,0.06884033203125,96.60600000000001,5.004044763988428,8.0,4.0
120,0.6457275390624999,0.029772949218750004,77.468,39.04310561417982,10.6,5.851495535331118
121,0.6346533203125,0.029772949218750004,77.556,39.065746428297004,10.4,5.71314274283428
122,0.6457275390624999,0.07759033203125,85.014,25.967577938652653,13.8,1.1661903789690602
123,0.6457275390624999,0.07759033203125,85.014,25.967577938652653,13.8,1.1661903789690602
124,0.6346533203125,0.029772949218750004,77.556,39.065746428297004,10.4,5.71314274283428
125,0.6346533203125,0.07759033203125,88.102,18.94613459257587,13.8,1.1661903789690602
126,0.7157275390625,0.06477294921875,77.86800000000001,39.152288515487825,10.8,6.013318551349163
127,0.7046533203124999,0.06477294921875,77.298,39.001579660316324,10.6,5.851495535331118
128,0.7157275390625,0.042590332031250004,77.954,39.177856807130226,11.0,6.099180272790763
129,0.7157275390625,0.042590332031250004,77.954,39.177856807130226,11.0,6.099180272790763
130,0.7046533203124999,0.06477294921875,77.298,39.001579660316324,10.6,5.851495535331118
131,0.7046533203124999,0.042590332031250004,77.364,39.0173549077843,11.0,6.099180272790763
132,0.6807275390624999,0.01227294921875,70.138,39.93189422003419,11.8,6.554387843269576
133,0.5996533203125,0.01227294921875,77.21000000000001,38.9812313812686,10.0,5.513619500836088
134,0.6807275390624999,0.060090332031250006,78.0,39.191835884530846,10.6,5.851495535331118
135,0.6807275390624999,0.060090332031250006,78.0,39.191835884530846,10.6,5.851495535331118
136,0.5996533203125,0.01227294921875,77.21000000000001,38.9812313812686,10.0,5.513619500836088
137,0.5996533203125,0.060090332031250006,90.00399999999999,16.44891437147145,10.2,3.370459909270543
138,0.6107275390625,0.047272949218750006,76.982,38.93216274495934,10.2,5.6000000000000005
139,0.6696533203124999,0.047272949218750006,77.408,39.0281162240762,10.6,5.851495535331118
140,0.6107275390625,0.025090332031250002,77.928,39.17004896601484,10.2,5.6000000000000005
141,0.6107275390625,0.025090332031250002,77.928,39.17004896601484,10.2,5.6000000000000005
142,0.6696533203124999,0.047272949218750006,77.408,39.0281162240762,10.6,5.851495535331118
143,0.6696533203124999,0.025090332031250002,77.346,39.0130089072863,11.0,6.099180272790763
144,0.6019775390625,0.04289794921875,78.106,39.224851102330526,10.0,5.513619500836088
145,0.6084033203125,0.04289794921875,77.07000000000001,38.95047624869303,10.2,5.6000000000000005
146,0.6019775390625,0.03821533203125,77.572,39.06994671099514,10.0,5.513619500836088
