row_index,w1,w2,w3,w4,w5_social,despair_rate,rebel_threshold,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
45,0.0713525390625,0.601171875,0.22910156250000002,0.990087890625,0.488916015625,0.01660791015625,0.701337890625,90.434,10.142535383226425,15.8,1.4696938456699067
46,0.07736816406250001,0.601171875,0.22910156250000002,0.990087890625,0.488916015625,0.01660791015625,0.701337890625,87.37599999999999,10.741874324343962,15.4,1.2
47,0.0713525390625,0.857421875,0.22910156250000002,0.990087890625,0.488916015625,0.01660791015625,0.701337890625,90.434,10.142535383226425,15.8,1.4696938456699067
48,0.0713525390625,0.601171875,0.31855468750000004,0.990087890625,0.488916015625,0.01660791015625,0.701337890625,88.712,10.308612709768465,15.4,1.2
49,0.0713525390625,0.601171875,0.22910156250000002,1.984521484375,0.488916015625,0.01660791015625,0.701337890625,85.232,11.369836234528622,16.0,1.5491933384829668
50,0.0713525390625,0.601171875,0.22910156250000002,0.990087890625,0.141748046875,0.01660791015625,0.701337890625,90.434,10.142535383226425,15.8,1.4696938456699067
51,0.0713525390625,0.601171875,0.22910156250000002,0.990087890625,0.488916015625,0.01261474609375,0.701337890625,89.584,10.809097279606657,16.0,1.5491933384829668
52,0.0713525390625,0.601171875,0.22910156250000002,0.990087890625,0.488916015625,0.01660791015625,0.6448730468749999,89.348,10.321665369503119,13.4,3.2000000000000006
53,0.07736816406250001,0.857421875,0.31855468750000004,1.984521484375,0.141748046875,0.01261474609375,0.6448730468749999,93.762,9.48647120904291,15.4,1.2
54,0.0538525390625,0.401171875,0.3291015625,2.265087890625,0.263916015625,0.00935791015625,0.596337890625,89.27200000000002,10.485718668741782,15.4,1.2
55,0.05986816406250001,0.401171875,0.3291015625,2.265087890625,0.263916015625,0.00935791015625,0.596337890625,94.008,9.609918626086282,14.2,3.1240998703626617
56,0.0538525390625,0.657421875,0.3291015625,2.265087890625,0.263916015625,0.00935791015625,0.596337890625,89.27200000000002,10.485718668741782,14.4,3.2000000000000006
57,0.0538525390625,0.401171875,0.4185546875,2.265087890625,0.263916015625,0.00935791015625,0.596337890625,94.008,9.566506990537354,14.2,3.1240998703626617
58,0.0538525390625,0.401171875,0.3291015625,2.409521484375,0.263916015625,0.00935791015625,0.596337890625,85.378,11.093047191822455,15.4,1.2
59,0.0538525390625,0.401171875,0.3291015625,2.265087890625,0.36674804687500007,0.00935791015625,0.596337890625,89.27200000000002,10.485718668741782,14.6,2.8000000000000003
60,0.0538525390625,0.401171875,0.3291015625,2.265087890625,0.263916015625,0.01986474609375,0.596337890625,89.45599999999999,10.39635436102483,13.4,3.2000000000000006
61,0.0538525390625,0.401171875,0.3291015625,2.265087890625,0.263916015625,0.00935791015625,0.6798730468749999,73.978,23.218025239024957,16.8,1.9390719429665315
62,0.05986816406250001,0.657421875,0.4185546875,2.409521484375,0.36674804687500007,0.01986474609375,0.6798730468749999,90.974,10.027942161779754,16.0,1.5491933384829668
63,0.0188525390625,0.8011718750000001,0.12910156250000002,1.4150878906250002,0.713916015625,0.02385791015625,0.6663378906249999,52.23199999999999,25.275123263794384,17.6,2.3323807579381204
64,0.024868164062500003,0.8011718750000001,0.12910156250000002,1.4150878906250002,0.713916015625,0.02385791015625,0.6663378906249999,76.67999999999999,23.74607588634383,16.8,1.9390719429665315
65,0.0188525390625,0.257421875,0.12910156250000002,1.4150878906250002,0.713916015625,0.02385791015625,0.6663378906249999,52.23199999999999,25.275123263794384,17.8,1.9390719429665315
66,0.0188525390625,0.8011718750000001,0.2185546875,1.4150878906250002,0.713916015625,0.02385791015625,0.6663378906249999,63.019999999999996,23.396809184160134,17.6,2.3323807579381204
67,0.0188525390625,0.8011718750000001,0.12910156250000002,1.559521484375,0.713916015625,0.02385791015625,0.6663378906249999,44.67799999999999,28.74382883333395,13.6,7.631513611335566
68,0.0188525390625,0.8011718750000001,0.12910156250000002,1.4150878906250002,0.816748046875,0.02385791015625,0.6663378906249999,52.260000000000005,25.219469463095372,17.6,2.3323807579381204
69,0.0188525390625,0.8011718750000001,0.12910156250000002,1.4150878906250002,0.713916015625,0.00536474609375,0.6663378906249999,20.0,40.0,1.8,5.6
70,0.0188525390625,0.8011718750000001,0.12910156250000002,1.4150878906250002,0.713916015625,0.02385791015625,0.609873046875,87.438,10.81639570282079,15.4,1.2
71,0.024868164062500003,0.257421875,0.2185546875,1.559521484375,0.816748046875,0.00536474609375,0.609873046875,45.528,28.452882736200916,13.8,7.756287771866127
72,0.023227539062500004,0.351171875,0.3041015625,0.8838378906250001,0.207666015625,0.01842041015625,0.622587890625,87.75,10.843997417926657,15.4,1.2
73,0.0379931640625,0.351171875,0.3041015625,0.8838378906250001,0.207666015625,0.01842041015625,0.622587890625,90.22200000000001,10.266332159052714,14.8,0.9797958971132712
74,0.023227539062500004,0.40742187500000004,0.3041015625,0.8838378906250001,0.207666015625,0.01842041015625,0.622587890625,87.75,10.843997417926657,15.4,1.2
75,0.023227539062500004,0.351171875,0.4935546875,0.8838378906250001,0.207666015625,0.01842041015625,0.622587890625,90.84,10.31828861778929,15.2,1.1661903789690602
76,0.023227539062500004,0.351171875,0.3041015625,1.453271484375,0.207666015625,0.01842041015625,0.622587890625,83.21000000000001,11.664487987048552,16.0,1.5491933384829668
77,0.023227539062500004,0.351171875,0.3041015625,0.8838378906250001,0.985498046875,0.01842041015625,0.622587890625,87.75,10.843997417926657,15.4,1.2
78,0.023227539062500004,0.351171875,0.3041015625,0.8838378906250001,0.207666015625,0.01080224609375,0.622587890625,73.998,22.053396473105906,16.8,1.9390719429665315
79,0.023227539062500004,0.351171875,0.3041015625,0.8838378906250001,0.207666015625,0.01842041015625,0.671123046875,68.968,22.55002563191448,17.6,2.3323807579381204
80,0.0379931640625,0.40742187500000004,0.4935546875,1.453271484375,0.985498046875,0.01080224609375,0.671123046875,74.648,23.403076208054358,16.8,1.9390719429665315
81,0.05822753906250001,0.751171875,0.10410156250000001,1.733837890625,0.657666015625,0.00392041015625,0.6925878906249999,72.68,22.420525417572176,17.6,2.3323807579381204
82,0.0729931640625,0.751171875,0.10410156250000001,1.733837890625,0.657666015625,0.00392041015625,0.6925878906249999,78.17,20.4658026962052,16.8,1.9390719429665315
83,0.05822753906250001,0.807421875,0.10410156250000001,1.733837890625,0.657666015625,0.00392041015625,0.6925878906249999,72.68,22.420525417572176,17.6,2.3323807579381204
84,0.05822753906250001,0.751171875,0.2935546875,1.733837890625,0.657666015625,0.00392041015625,0.6925878906249999,77.506,23.44509040289672,17.2,2.1354156504062622
85,0.05822753906250001,0.751171875,0.10410156250000001,2.303271484375,0.657666015625,0.00392041015625,0.6925878906249999,62.867999999999995,22.405430948767755,17.6,2.3323807579381204
86,0.05822753906250001,0.751171875,0.10410156250000001,1.733837890625,0.535498046875,0.00392041015625,0.6925878906249999,72.68,22.420525417572176,17.6,2.3323807579381204
87,0.05822753906250001,0.751171875,0.10410156250000001,1.733837890625,0.657666015625,0.02530224609375,0.6925878906249999,89.628,10.669165665599161,16.0,1.5491933384829668
88,0.05822753906250001,0.751171875,0.10410156250000001,1.733837890625,0.657666015625,0.00392041015625,0.601123046875,90.454,10.035061733741355,15.0,3.03315017762062
89,0.0729931640625,0.807421875,0.2935546875,2.303271484375,0.535498046875,0.02530224609375,0.601123046875,92.046,10.063340598429528,12.8,3.9191835884530852
90,0.0757275390625,0.5511718750000001,0.40410156250000007,1.308837890625,0.882666015625,0.011170410156250001,0.5875878906249999,94.012,9.606178012092009,12.6,4.317406628984581
91,0.05549316406250001,0.5511718750000001,0.40410156250000007,1.308837890625,0.882666015625,0.011170410156250001,0.5875878906249999,95.03999999999999,9.910003027244745,12.8,4.4
92,0.0757275390625,0.607421875,0.40410156250000007,1.308837890625,0.882666015625,0.011170410156250001,0.5875878906249999,94.012,9.606178012092009,12.6,4.317406628984581
93,0.0757275390625,0.5511718750000001,0.19355468750000002,1.308837890625,0.882666015625,0.011170410156250001,0.5875878906249999,95.04400000000001,9.912,12.8,4.4
94,0.0757275390625,0.5511718750000001,0.40410156250000007,1.878271484375,0.882666015625,0.011170410156250001,0.5875878906249999,95.04400000000001,9.912,12.8,4.4
95,0.0757275390625,0.5511718750000001,0.40410156250000007,1.308837890625,0.31049804687500004,0.011170410156250001,0.5875878906249999,94.012,9.606178012092009,12.6,4.317406628984581
96,0.0757275390625,0.5511718750000001,0.40410156250000007,1.308837890625,0.882666015625,0.00355224609375,0.5875878906249999,92.77200000000002,9.611021589820718,12.8,4.4
97,0.0757275390625,0.5511718750000001,0.40410156250000007,1.308837890625,0.882666015625,0.011170410156250001,0.7061230468749999,91.674,10.099763561588952,16.0,1.5491933384829668
98,0.05549316406250001,0.607421875,0.19355468750000002,1.878271484375,0.31049804687500004,0.00355224609375,0.7061230468749999,50.074,26.53931543955119,17.6,2.3323807579381204
