row_index,w1,intervention_quarter,intervention_coverage,rebel_threshold,peak_mutiny_mean,peak_mutiny_std,collapse_quarter_mean,collapse_quarter_std
192,0.013306884765625,11.55859375,0.56788330078125,0.59030517578125,67.33399999999999,0.0,14.2,0.0
193,0.013887939453125001,11.55859375,0.56788330078125,0.59030517578125,67.218,0.0,14.2,0.0
194,0.013306884765625,16.87109375,0.56788330078125,0.59030517578125,84.346,0.0,14.0,0.0
195,0.013306884765625,11.55859375,0.63197021484375,0.59030517578125,64.64,0.0,16.2,0.0
196,0.013306884765625,11.55859375,0.56788330078125,0.64683837890625,57.982000000000006,0.0,12.8,0.0
197,0.013887939453125001,16.87109375,0.63197021484375,0.64683837890625,58.275999999999996,7.105427357601002e-15,12.4,0.0
198,0.048306884765625,27.55859375,0.9178833007812499,0.6603051757812499,92.558,0.0,14.8,0.0
199,0.04888793945312501,27.55859375,0.9178833007812499,0.6603051757812499,92.492,0.0,14.8,0.0
200,0.048306884765625,32.87109375,0.9178833007812499,0.6603051757812499,92.558,0.0,14.8,0.0
201,0.048306884765625,27.55859375,0.9819702148437499,0.6603051757812499,92.558,0.0,14.8,0.0
202,0.048306884765625,27.55859375,0.9178833007812499,0.71683837890625,94.188,0.0,15.8,0.0
203,0.04888793945312501,32.87109375,0.9819702148437499,0.71683837890625,94.28,0.0,15.8,0.0
204,0.065806884765625,19.55859375,0.39288330078125,0.62530517578125,95.182,0.0,14.0,0.0
205,0.066387939453125,19.55859375,0.39288330078125,0.62530517578125,95.33,0.0,14.0,0.0
206,0.065806884765625,24.87109375,0.39288330078125,0.62530517578125,95.182,0.0,14.0,0.0
207,0.065806884765625,19.55859375,0.45697021484375,0.62530517578125,95.182,0.0,14.0,0.0
208,0.065806884765625,19.55859375,0.39288330078125,0.68183837890625,93.002,0.0,14.8,0.0
209,0.066387939453125,24.87109375,0.45697021484375,0.68183837890625,92.85800000000002,0.0,14.8,0.0
210,0.030806884765625,35.55859375,0.74288330078125,0.69530517578125,84.56800000000001,0.0,16.4,0.0
211,0.031387939453125,35.55859375,0.74288330078125,0.69530517578125,84.774,0.0,16.4,0.0
212,0.030806884765625,8.87109375,0.74288330078125,0.69530517578125,54.70399999999999,0.0,15.0,0.0
213,0.030806884765625,35.55859375,0.8069702148437499,0.69530517578125,84.56800000000001,0.0,16.4,0.0
214,0.030806884765625,35.55859375,0.74288330078125,0.6118383789062499,92.082,0.0,14.0,0.0
215,0.031387939453125,8.87109375,0.8069702148437499,0.6118383789062499,54.85,0.0,13.6,0.0
216,0.039556884765625,15.55859375,0.83038330078125,0.7128051757812499,54.976,0.0,15.0,0.0
217,0.040137939453125,15.55859375,0.83038330078125,0.7128051757812499,55.224000000000004,7.105427357601002e-15,12.8,0.0
218,0.039556884765625,12.87109375,0.83038330078125,0.7128051757812499,33.046,0.0,9.8,0.0
219,0.039556884765625,15.55859375,0.36947021484375,0.7128051757812499,71.846,0.0,16.6,0.0
220,0.039556884765625,15.55859375,0.83038330078125,0.66433837890625,57.538,0.0,12.0,0.0
221,0.040137939453125,12.87109375,0.36947021484375,0.66433837890625,75.076,0.0,15.2,0.0
222,0.074556884765625,31.55859375,0.48038330078124997,0.64280517578125,95.072,0.0,14.0,0.0
223,0.075137939453125,31.55859375,0.48038330078124997,0.64280517578125,95.064,0.0,14.0,0.0
224,0.074556884765625,28.87109375,0.48038330078124997,0.64280517578125,95.072,0.0,14.0,0.0
225,0.074556884765625,31.55859375,0.71947021484375,0.64280517578125,95.072,0.0,14.0,0.0
226,0.074556884765625,31.55859375,0.48038330078124997,0.59433837890625,94.568,0.0,11.8,0.0
227,0.075137939453125,28.87109375,0.71947021484375,0.59433837890625,94.668,0.0,11.8,0.0
228,0.057056884765625,7.55859375,0.65538330078125,0.67780517578125,64.418,0.0,14.0,0.0
229,0.05763793945312501,7.55859375,0.65538330078125,0.67780517578125,64.382,0.0,14.0,0.0
230,0.057056884765625,20.87109375,0.65538330078125,0.67780517578125,93.172,0.0,14.8,0.0
231,0.057056884765625,7.55859375,0.5444702148437499,0.67780517578125,69.35799999999999,0.0,15.4,0.0
232,0.057056884765625,7.55859375,0.65538330078125,0.62933837890625,64.85999999999999,0.0,13.4,0.0
233,0.05763793945312501,20.87109375,0.5444702148437499,0.62933837890625,94.038,0.0,14.0,0.0
234,0.022056884765625,23.55859375,0.30538330078125,0.6078051757812499,92.316,0.0,14.2,0.0
235,0.022637939453125002,23.55859375,0.30538330078125,0.6078051757812499,92.728,0.0,14.2,0.0
236,0.022056884765625,4.87109375,0.30538330078125,0.6078051757812499,78.768,0.0,14.2,0.0
237,0.022056884765625,23.55859375,0.89447021484375,0.6078051757812499,92.316,0.0,14.2,0.0
238,0.022056884765625,23.55859375,0.30538330078125,0.69933837890625,66.142,0.0,13.0,0.0
239,0.022637939453125002,4.87109375,0.89447021484375,0.69933837890625,23.582,0.0,2.2,0.0
240,0.026431884765625004,17.55859375,0.6991333007812499,0.6340551757812499,82.814,0.0,14.8,0.0
241,0.053262939453125005,17.55859375,0.6991333007812499,0.6340551757812499,94.52,0.0,14.2,0.0
242,0.026431884765625004,10.87109375,0.6991333007812499,0.6340551757812499,42.718,0.0,9.0,0.0
243,0.026431884765625004,17.55859375,0.32572021484374997,0.6340551757812499,88.61,0.0,14.8,0.0
244,0.026431884765625004,17.55859375,0.6991333007812499,0.65558837890625,78.902,0.0,15.6,0.0
245,0.053262939453125005,10.87109375,0.32572021484374997,0.65558837890625,81.018,0.0,14.8,0.0
246,0.06143188476562501,33.55859375,0.34913330078125,0.70405517578125,94.656,0.0,15.2,0.0
247,0.018262939453125,33.55859375,0.34913330078125,0.70405517578125,58.186,0.0,9.4,0.0
248,0.06143188476562501,26.87109375,0.34913330078125,0.70405517578125,94.656,0.0,15.2,0.0
249,0.06143188476562501,33.55859375,0.67572021484375,0.70405517578125,94.656,0.0,15.2,0.0
250,0.06143188476562501,33.55859375,0.34913330078125,0.5855883789062499,96.238,0.0,11.8,0.0
251,0.018262939453125,26.87109375,0.67572021484375,0.5855883789062499,93.438,0.0,13.2,0.0
252,0.078931884765625,9.55859375,0.87413330078125,0.59905517578125,57.48,0.0,10.6,0.0
253,0.035762939453125,9.55859375,0.87413330078125,0.59905517578125,37.796,0.0,8.4,0.0
254,0.078931884765625,34.87109375,0.87413330078125,0.59905517578125,94.21399999999998,0.0,12.0,0.0
255,0.078931884765625,9.55859375,0.50072021484375,0.59905517578125,71.97,0.0,12.2,0.0
256,0.078931884765625,9.55859375,0.87413330078125,0.62058837890625,58.67999999999999,0.0,12.2,0.0
257,0.035762939453125,34.87109375,0.50072021484375,0.62058837890625,92.208,0.0,14.2,0.0
258,0.043931884765625005,25.55859375,0.52413330078125,0.66905517578125,93.46,0.0,15.0,0.0
259,0.070762939453125,25.55859375,0.52413330078125,0.66905517578125,95.574,0.0,14.4,0.0
260,0.043931884765625005,18.87109375,0.52413330078125,0.66905517578125,91.362,0.0,15.0,0.0
261,0.043931884765625005,25.55859375,0.85072021484375,0.66905517578125,93.46,0.0,15.0,0.0
262,0.043931884765625005,25.55859375,0.52413330078125,0.6905883789062499,90.948,0.0,15.6,0.0
263,0.070762939453125,18.87109375,0.85072021484375,0.6905883789062499,93.048,0.0,14.8,0.0
264,0.035181884765625004,5.55859375,0.43663330078124996,0.65155517578125,74.582,0.0,15.2,0.0
265,0.079512939453125,5.55859375,0.43663330078124996,0.65155517578125,75.56800000000001,0.0,14.2,0.0
266,0.035181884765625004,6.87109375,0.43663330078124996,0.65155517578125,71.664,0.0,15.2,0.0
267,0.035181884765625004,5.55859375,0.58822021484375,0.65155517578125,68.266,0.0,15.4,0.0
268,0.035181884765625004,5.55859375,0.43663330078124996,0.6380883789062499,73.862,0.0,15.0,0.0
