timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1786434311989,4040,v1,0.0722,0.3333,0.153,2.1117,0.9428,0.032,0.1964,0.002324,0.587,0,14,72.77,0.798,1,3218,13.0,6.928,0,30,6011,259193.2,43.34,14,9.23
1786434313622,4041,v1,0.0787,0.7644,0.3523,1.758,0.2351,0.032,0.239,0.00218,0.68,0,4,62.49,0.802,1,2697,3.0,2.528,0,30,5749,263741.1,48.1,15,8.89
1786434303834,4042,v1,0.0112,0.376,0.1569,1.4396,0.2023,0.032,0.0586,0.003036,0.67,1,21,61.1,0.875,1,0,10.087,10.087,0,30,6277,272404.7,49.21,18,12.01
1786434305293,4043,v1,0.0501,0.7511,0.1216,1.0931,0.5884,0.032,0.0702,0.001554,0.598,0,16,76.2,0.901,1,0,13.462,13.462,0,30,6340,160623.3,90.01,13,5.98
1786434307893,4044,v1,0.038,0.2285,0.3081,0.8646,0.4182,0.032,0.0946,0.003245,0.588,1,9,45.64,0.642,1,6140,8.0,1.246,0,30,7466,370018.8,13.36,-1,12.62
1786434309962,4045,v1,0.0438,0.7383,0.2165,1.1938,0.1642,0.032,0.1031,0.002902,0.707,0,10,53.37,0.454,1,1446,9.0,7.333,0,30,6225,273491.1,66.94,17,11.28
1786434311365,4046,v1,0.0583,0.2057,0.3569,2.3025,0.5558,0.032,0.0756,0.003221,0.601,0,17,95.51,0.821,1,0,14.4,14.4,0,30,6142,166237.3,85.14,14,12.85
1786434312991,4047,v1,0.04,0.5903,0.4856,1.5247,0.6325,0.032,0.1671,0.002282,0.716,1,27,92.35,0.71,1,0,18.283,18.283,0,30,6117,197995.1,97.77,17,8.45
1786434314339,4048,v1,0.0102,0.8336,0.2641,2.1594,0.9494,0.032,0.1448,0.00308,0.597,0,29,48.13,0.315,1,0,17.058,17.058,0,30,6413,179065.5,84.8,15,11.49
1786434303917,4049,v1,0.042,0.3752,0.412,1.435,0.4993,0.032,0.09,0.001677,0.667,0,36,71.68,0.379,1,0,18.514,18.514,0,30,5849,171023.8,88.01,15,6.19
