voyage_id,convict_count
"Neptune, Scarborough and Surprize | December 1789 [MULTI-SHIP]",1072
Midas | 22 July 1825,109
Mary Ann | November 1822,108
Waterloo | 12 March 1829,107
Fanny | 14 July 1832,106
Hashemy | 19 July 1850,103
Providence | 06 June 1821,103
Lord Melville | August 1816,103
Friendship | June 1817,101
Mary Ann | July 1815,101
Lucy Davidson | 10 July 1829,101
Burrell | 31 December 1831,101
Chapman | 12 April 1826,100
Frances Charlotte | 30 August 1832,100
Asia | 19 November 1827,100
Woodford | 29 July 1826,100
Princess Royal | 07 November 1828,100
Diana | 04 December 1832,100
Providence | 08 December 1825,100
Harmony | 09 September 1828,100
Hoogley | 31 October 1827,99
Competitor | 09 June 1828,99
Mermaid | 15 February 1828,99
Speke | March 1808,99
Amphitrite | 21 August 1833,99
Sarah and Elizabeth | 28 December 1836 [MULTI-SHIP],98
Lord Sidmouth | 07 September 1822,97
Britannia | January 1798,97
Surprize | February 1794,94
Brothers | 20 November 1823,90
Louisa | 21 August 1827,90
Princess Charlotte | 27 March 1827,90
Grenada | 01 September 1826,88
Lord Wellington | May 1819,87
Grenada | 25 September 1824,82
Sovereign | 12 July 1827,81
Lady of the Lake | 06 June 1829,81
Harmony | 12 May 1827,80
Henry | 30 September 1824,79
Scindian | 27 February 1850,77
Borneo | 07 May 1828,73
Sir Charles Forbes | 31 August 1826,72
Lady Shore | February 1797,68
Indispensible | February 1809,62
Janus | 23 October 1819,61
Eliza | 12 December 1849,60
Persian | 10 April 1827,60
Speedy | October 1799,53
Emu | October 1812,40
Gorgon | February 1791,31
Kitty | January 1792,26
Guardian | July 1789,25
Prince of Wales | April 1787,22
Bellona | July 1792,17
Sovereign | January 1795,1
William | August 1793,1
