row_index,replicate_id,peak_mutiny,collapse_quarter
79.0,2,94.02,15.2
79.0,3,94.02,15.2
79.0,4,94.02,15.2
80.0,0,96.13,14.4
80.0,1,96.13,14.4
80.0,2,96.13,14.4
80.0,3,96.13,14.4
80.0,4,96.13,14.4
81.0,0,96.13,14.4
81.0,1,96.13,14.4
81.0,2,96.13,14.4
81.0,3,96.13,14.4
81.0,4,96.13,14.4
82.0,0,96.006,14.0
82.0,1,96.006,14.0
82.0,2,96.006,14.0
82.0,3,96.006,14.0
82.0,4,96.006,14.0
83.0,0,92.058,14.2
83.0,1,92.058,14.2
83.0,2,92.058,14.2
83.0,3,92.058,14.2
83.0,4,92.058,14.2
84.0,0,59.366,13.4
84.0,1,59.366,13.4
84.0,2,59.366,13.4
84.0,3,59.366,13.4
84.0,4,59.366,13.4
85.0,0,58.648,14.2
85.0,1,58.648,14.2
85.0,2,58.648,14.2
85.0,3,58.648,14.2
85.0,4,58.648,14.2
86.0,0,35.458,8.4
86.0,1,35.458,8.4
86.0,2,35.458,8.4
86.0,3,35.458,8.4
86.0,4,35.458,8.4
87.0,0,37.628,8.4
87.0,1,37.628,8.4
87.0,2,37.628,8.4
87.0,3,37.628,8.4
87.0,4,37.628,8.4
88.0,0,60.008,13.0
88.0,1,60.008,13.0
88.0,2,60.008,13.0
88.0,3,60.008,13.0
88.0,4,60.008,13.0
89.0,0,39.454,10.6
89.0,1,39.454,10.6
89.0,2,39.454,10.6
89.0,3,39.454,10.6
89.0,4,39.454,10.6
90.0,0,55.876,9.8
90.0,1,55.876,9.8
90.0,2,55.876,9.8
90.0,3,55.876,9.8
90.0,4,55.876,9.8
91.0,0,94.886,15.2
91.0,1,94.886,15.2
91.0,2,94.886,15.2
91.0,3,94.886,15.2
91.0,4,94.886,15.2
92.0,0,55.876,9.8
92.0,1,55.876,9.8
92.0,2,55.876,9.8
92.0,3,55.876,9.8
92.0,4,55.876,9.8
93.0,0,55.876,9.8
93.0,1,55.876,9.8
93.0,2,55.876,9.8
93.0,3,55.876,9.8
93.0,4,55.876,9.8
94.0,0,74.594,12.6
94.0,1,74.594,12.6
94.0,2,74.594,12.6
94.0,3,74.594,12.6
94.0,4,74.594,12.6
95.0,0,96.306,14.6
95.0,1,96.306,14.6
95.0,2,96.306,14.6
95.0,3,96.306,14.6
95.0,4,96.306,14.6
96.0,0,57.13199999999999,14.4
96.0,1,57.13199999999999,14.4
96.0,2,57.13199999999999,14.4
96.0,3,57.13199999999999,14.4
96.0,4,57.13199999999999,14.4
97.0,0,58.42,13.6
97.0,1,58.42,13.6
97.0,2,58.42,13.6
97.0,3,58.42,13.6
97.0,4,58.42,13.6
98.0,0,85.052,14.4
98.0,1,85.052,14.4
98.0,2,85.052,14.4
98.0,3,85.052,14.4
98.0,4,85.052,14.4
99.0,0,70.53,14.8
99.0,1,70.53,14.8
99.0,2,70.53,14.8
99.0,3,70.53,14.8
99.0,4,70.53,14.8
100.0,0,57.934000000000005,13.6
100.0,1,57.934000000000005,13.6
100.0,2,57.934000000000005,13.6
100.0,3,57.934000000000005,13.6
100.0,4,57.934000000000005,13.6
101.0,0,91.316,13.2
101.0,1,91.316,13.2
101.0,2,91.316,13.2
101.0,3,91.316,13.2
101.0,4,91.316,13.2
102.0,0,93.044,15.0
102.0,1,93.044,15.0
102.0,2,93.044,15.0
102.0,3,93.044,15.0
102.0,4,93.044,15.0
103.0,0,94.23,14.4
103.0,1,94.23,14.4
103.0,2,94.23,14.4
103.0,3,94.23,14.4
103.0,4,94.23,14.4
104.0,0,93.044,15.0
104.0,1,93.044,15.0
104.0,2,93.044,15.0
104.0,3,93.044,15.0
104.0,4,93.044,15.0
105.0,0,93.044,15.0
105.0,1,93.044,15.0
105.0,2,93.044,15.0
105.0,3,93.044,15.0
105.0,4,93.044,15.0
106.0,0,95.492,14.8
106.0,1,95.492,14.8
106.0,2,95.492,14.8
106.0,3,95.492,14.8
106.0,4,95.492,14.8
107.0,0,95.948,14.2
107.0,1,95.948,14.2
107.0,2,95.948,14.2
107.0,3,95.948,14.2
107.0,4,95.948,14.2
108.0,0,52.828,13.0
108.0,1,52.828,13.0
108.0,2,52.828,13.0
108.0,3,52.828,13.0
108.0,4,52.828,13.0
109.0,0,52.176,13.4
109.0,1,52.176,13.4
109.0,2,52.176,13.4
109.0,3,52.176,13.4
109.0,4,52.176,13.4
110.0,0,94.322,14.0
110.0,1,94.322,14.0
110.0,2,94.322,14.0
110.0,3,94.322,14.0
110.0,4,94.322,14.0
111.0,0,61.05799999999999,12.6
111.0,1,61.05799999999999,12.6
111.0,2,61.05799999999999,12.6
111.0,3,61.05799999999999,12.6
111.0,4,61.05799999999999,12.6
112.0,0,52.654,13.6
112.0,1,52.654,13.6
112.0,2,52.654,13.6
112.0,3,52.654,13.6
112.0,4,52.654,13.6
113.0,0,94.868,15.2
113.0,1,94.868,15.2
113.0,2,94.868,15.2
113.0,3,94.868,15.2
113.0,4,94.868,15.2
114.0,0,79.85,16.6
114.0,1,79.85,16.6
114.0,2,79.85,16.6
114.0,3,79.85,16.6
114.0,4,79.85,16.6
115.0,0,52.60999999999999,9.6
115.0,1,52.60999999999999,9.6
115.0,2,52.60999999999999,9.6
115.0,3,52.60999999999999,9.6
115.0,4,52.60999999999999,9.6
116.0,0,58.302,18.8
116.0,1,58.302,18.8
116.0,2,58.302,18.8
116.0,3,58.302,18.8
116.0,4,58.302,18.8
117.0,0,79.85,16.6
117.0,1,79.85,16.6
117.0,2,79.85,16.6
117.0,3,79.85,16.6
117.0,4,79.85,16.6
118.0,0,94.038,14.4
118.0,1,94.038,14.4
118.0,2,94.038,14.4
118.0,3,94.038,14.4
118.0,4,94.038,14.4
119.0,0,33.556,9.2
119.0,1,33.556,9.2
119.0,2,33.556,9.2
119.0,3,33.556,9.2
119.0,4,33.556,9.2
120.0,0,77.774,15.8
120.0,1,77.774,15.8
120.0,2,77.774,15.8
120.0,3,77.774,15.8
120.0,4,77.774,15.8
121.0,0,43.738,6.4
121.0,1,43.738,6.4
121.0,2,43.738,6.4
121.0,3,43.738,6.4
121.0,4,43.738,6.4
122.0,0,77.824,15.8
122.0,1,77.824,15.8
122.0,2,77.824,15.8
122.0,3,77.824,15.8
122.0,4,77.824,15.8
123.0,0,68.03,16.0
123.0,1,68.03,16.0
123.0,2,68.03,16.0
123.0,3,68.03,16.0
123.0,4,68.03,16.0
124.0,0,76.97,16.0
124.0,1,76.97,16.0
124.0,2,76.97,16.0
124.0,3,76.97,16.0
124.0,4,76.97,16.0
125.0,0,40.834,6.6
125.0,1,40.834,6.6
125.0,2,40.834,6.6
125.0,3,40.834,6.6
125.0,4,40.834,6.6
126.0,0,95.638,14.0
126.0,1,95.638,14.0
126.0,2,95.638,14.0
126.0,3,95.638,14.0
126.0,4,95.638,14.0
127.0,0,92.262,14.2
127.0,1,92.262,14.2
127.0,2,92.262,14.2
127.0,3,92.262,14.2
127.0,4,92.262,14.2
128.0,0,95.638,14.0
128.0,1,95.638,14.0
128.0,2,95.638,14.0
128.0,3,95.638,14.0
128.0,4,95.638,14.0
129.0,0,95.638,14.0
129.0,1,95.638,14.0
129.0,2,95.638,14.0
129.0,3,95.638,14.0
129.0,4,95.638,14.0
130.0,0,95.232,14.0
130.0,1,95.232,14.0
130.0,2,95.232,14.0
130.0,3,95.232,14.0
130.0,4,95.232,14.0
131.0,0,95.194,14.4
131.0,1,95.194,14.4
131.0,2,95.194,14.4
131.0,3,95.194,14.4
131.0,4,95.194,14.4
132.0,0,70.39,14.8
132.0,1,70.39,14.8
132.0,2,70.39,14.8
132.0,3,70.39,14.8
132.0,4,70.39,14.8
133.0,0,70.124,14.8
133.0,1,70.124,14.8
133.0,2,70.124,14.8
133.0,3,70.124,14.8
133.0,4,70.124,14.8
134.0,0,95.918,14.4
134.0,1,95.918,14.4
134.0,2,95.918,14.4
134.0,3,95.918,14.4
134.0,4,95.918,14.4
135.0,0,77.142,14.8
135.0,1,77.142,14.8
135.0,2,77.142,14.8
135.0,3,77.142,14.8
135.0,4,77.142,14.8
136.0,0,70.96000000000001,13.8
136.0,1,70.96000000000001,13.8
