row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
3398,0,1786275621693,sobol_3398_0,v1,0.0595,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.689,0,31,28.64,0.573,1,0,15.018,15.018,1,30,5645,133603.4,100.0,13,8.29
3398,1,1786275622422,sobol_3398_1,v1,0.0595,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.689,1,31,98.5,0.573,1,0,17.873,17.873,0,30,5601,163544.6,91.67,15,13.35
3398,2,1786275614102,sobol_3398_2,v1,0.0595,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.689,0,31,36.98,0.573,1,0,20.072,20.072,0,30,6489,254125.5,87.1,16,8.49
3398,3,1786275615571,sobol_3398_3,v1,0.0595,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.689,0,31,50.6,0.573,1,0,21.029,21.029,0,30,6470,268316.0,86.57,17,14.51
3398,4,1786275616958,sobol_3398_4,v1,0.0595,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.689,1,31,93.52,0.573,1,0,14.99,14.99,1,30,6536,156321.7,100.0,13,5.46
3399,0,1786275618005,sobol_3399_0,v1,0.0595,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.689,0,5,28.64,0.356,1,1430,4.0,3.489,1,30,5645,140038.1,100.0,13,31.73
3399,1,1786275619432,sobol_3399_1,v1,0.0595,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.689,1,5,98.5,0.356,1,2486,4.0,2.194,0,30,5601,243751.1,50.08,15,12.96
3399,2,1786275620619,sobol_3399_2,v1,0.0595,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.689,0,5,36.98,0.356,1,1262,4.0,3.607,0,30,6489,280455.1,70.19,16,8.72
3399,3,1786275622114,sobol_3399_3,v1,0.0595,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.689,0,5,50.6,0.356,1,1274,4.0,3.6,0,30,6470,289659.9,69.03,17,14.36
3399,4,1786275622747,sobol_3399_4,v1,0.0595,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.689,1,5,93.52,0.356,1,2569,4.0,2.416,1,30,6536,169400.1,100.0,13,43.04
