row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
1096,2,1786309766797,sobol_1096_2,v1,0.0601,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.719,0,9,36.98,0.359,1,1179,8.0,6.89,0,30,6489,295340.5,68.19,17,8.54
1096,3,1786309768871,sobol_1096_3,v1,0.0601,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.719,0,9,50.6,0.359,1,1568,8.0,6.503,0,30,6470,306164.2,62.77,17,14.82
1096,4,1786309770008,sobol_1096_4,v1,0.0601,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.719,1,9,93.52,0.359,1,3049,8.0,4.212,1,30,6536,174576.6,100.0,14,50.28
1097,0,1786309771344,sobol_1097_0,v1,0.0553,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.719,0,20,28.64,0.663,1,0,13.935,13.935,1,30,5645,136036.9,100.0,14,8.29
1097,1,1786309772446,sobol_1097_1,v1,0.0553,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.719,1,20,98.5,0.663,1,0,16.646,16.646,0,30,5601,190591.6,87.03,16,13.25
1097,2,1786309774282,sobol_1097_2,v1,0.0553,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.719,0,20,36.98,0.663,1,0,17.413,17.413,0,30,6489,278020.1,86.4,17,8.49
1097,3,1786309764194,sobol_1097_3,v1,0.0553,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.719,0,20,50.6,0.663,1,0,18.108,18.108,0,30,6470,288199.7,86.42,17,14.61
1097,4,1786309765704,sobol_1097_4,v1,0.0553,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.719,1,20,93.52,0.663,1,0,14.0,14.0,1,30,6536,160685.0,100.0,14,5.49
1098,0,1786309766693,sobol_1098_0,v1,0.0251,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.62,0,25,28.64,0.709,1,328,14.172,13.438,1,30,5645,134499.8,100.0,13,13.73
1098,1,1786309767995,sobol_1098_1,v1,0.0251,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.62,1,25,98.5,0.709,1,0,15.901,15.901,0,30,5601,151929.6,88.85,14,13.28
1098,2,1786309769397,sobol_1098_2,v1,0.0251,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.62,0,25,36.98,0.709,1,0,17.041,17.041,0,30,6489,189614.0,85.53,15,8.72
1098,3,1786309771087,sobol_1098_3,v1,0.0251,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.62,0,25,50.6,0.709,1,0,18.329,18.329,0,30,6470,223460.2,88.64,17,14.9
1098,4,1786309772189,sobol_1098_4,v1,0.0251,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.62,1,25,93.52,0.709,1,0,14.516,14.516,1,30,6536,160625.6,100.0,14,5.54
1099,0,1786309773550,sobol_1099_0,v1,0.0203,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.62,0,25,28.64,0.709,1,328,14.254,13.516,1,30,5645,135065.8,100.0,13,13.64
1099,1,1786309764189,sobol_1099_1,v1,0.0203,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.62,1,25,98.5,0.709,1,0,16.011,16.011,0,30,5601,153143.2,91.7,14,13.25
1099,2,1786309765835,sobol_1099_2,v1,0.0203,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.62,0,25,36.98,0.709,1,0,17.321,17.321,0,30,6489,193235.0,86.09,16,8.57
1099,3,1786309767245,sobol_1099_3,v1,0.0203,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.62,0,25,50.6,0.709,1,0,18.796,18.796,0,30,6470,226061.7,86.37,17,14.51
1099,4,1786309768828,sobol_1099_4,v1,0.0203,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.62,1,25,93.52,0.709,1,0,14.546,14.546,1,30,6536,160849.1,100.0,14,5.54
1100,0,1786309769799,sobol_1100_0,v1,0.0251,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.62,0,4,28.64,0.709,1,2617,3.0,2.533,1,30,5645,145795.1,100.0,14,51.32
1100,1,1786309771749,sobol_1100_1,v1,0.0251,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.62,1,4,98.5,0.709,1,5008,3.0,0.284,0,30,5601,306695.2,8.45,-1,12.85
1100,2,1786309773635,sobol_1100_2,v1,0.0251,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.62,0,4,36.98,0.709,1,2960,3.0,2.54,0,30,6489,278595.7,45.8,16,8.32
1100,3,1786309775392,sobol_1100_3,v1,0.0251,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.62,0,4,50.6,0.709,1,2872,3.0,2.55,0,30,6470,303306.8,49.09,17,15.27
1100,4,1786309765402,sobol_1100_4,v1,0.0251,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.62,1,4,93.52,0.709,1,5594,3.0,0.422,1,30,6536,186865.3,100.0,24,86.7
1101,0,1786309766540,sobol_1101_0,v1,0.0251,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.62,0,25,28.64,0.313,1,144,14.172,13.851,1,30,5645,134263.5,100.0,13,10.81
1101,1,1786309767685,sobol_1101_1,v1,0.0251,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.62,1,25,98.5,0.313,1,0,15.901,15.901,0,30,5601,151929.6,88.85,14,13.28
1101,2,1786309769217,sobol_1101_2,v1,0.0251,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.62,0,25,36.98,0.313,1,0,17.041,17.041,0,30,6489,189614.0,85.53,15,8.72
1101,3,1786309770760,sobol_1101_3,v1,0.0251,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.62,0,25,50.6,0.313,1,0,18.329,18.329,0,30,6470,223460.2,88.64,17,14.9
1101,4,1786309771989,sobol_1101_4,v1,0.0251,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.62,1,25,93.52,0.313,1,0,14.516,14.516,1,30,6536,160625.6,100.0,14,5.54
1102,0,1786309773307,sobol_1102_0,v1,0.0251,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.649,0,25,28.64,0.709,1,328,14.457,13.706,1,30,5645,136395.0,100.0,14,13.8
1102,1,1786309774387,sobol_1102_1,v1,0.0251,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.649,1,25,98.5,0.709,1,0,16.828,16.828,0,30,5601,162996.9,91.39,15,12.73
1102,2,1786309774532,sobol_1102_2,v1,0.0251,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.649,0,25,36.98,0.709,1,0,18.102,18.102,0,30,6489,210538.9,84.86,16,8.71
1102,3,1786309776441,sobol_1102_3,v1,0.0251,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.649,0,25,50.6,0.709,1,0,16.725,16.725,0,30,6470,286305.9,78.05,18,14.44
