row_index,replicate_id,timestamp,universe_id,model_version,w1_energy,w2_drought,w3_rebellion,w4_policy,w5_social,despair_rate,rebellion_sentence_weight,natural_death_rate_quarterly,threshold,intervention_type,intervention_quarter,intervention_threshold,intervention_coverage,intervention_applied,n_promoted,mean_despair_pre,mean_despair_post,drought_enabled,n_voyages_sampled,n_agents,total_gdp,peak_mutiny,collapse_quarter,final_mortality
8080,0,1786066346935,sobol_8080_0,v1,0.0389,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.715,0,21,67.94,0.302,1,0,14.496,14.496,1,30,5645,138932.9,100.0,14,8.7
8080,1,1786066348387,sobol_8080_1,v1,0.0389,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.715,1,29,42.1,0.958,1,1556,19.33,13.231,0,30,5601,233048.1,83.86,16,12.89
8080,2,1786066349824,sobol_8080_2,v1,0.0389,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.715,0,33,49.87,0.667,1,0,15.179,15.179,1,30,6489,150109.1,100.0,14,8.75
8080,3,1786066350864,sobol_8080_3,v1,0.0389,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.715,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8080,4,1786066353342,sobol_8080_4,v1,0.0389,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.715,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8081,0,1786066354647,sobol_8081_0,v1,0.0182,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.715,0,21,67.94,0.302,1,0,15.847,15.847,1,30,5645,146274.4,100.0,16,9.16
8081,1,1786066356124,sobol_8081_1,v1,0.0182,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.715,1,29,42.1,0.958,1,511,9.435,7.412,0,30,5601,281804.0,42.24,18,12.71
8081,2,1786066357689,sobol_8081_2,v1,0.0182,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.715,0,33,49.87,0.667,1,0,16.015,16.015,1,30,6489,155753.8,100.0,14,8.75
8081,3,1786066347073,sobol_8081_3,v1,0.0182,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.715,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8081,4,1786066349433,sobol_8081_4,v1,0.0182,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.715,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8082,0,1786066350518,sobol_8082_0,v1,0.0739,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.619,0,21,67.94,0.302,1,0,11.81,11.81,1,30,5645,115286.6,100.0,8,8.41
8082,1,1786066351652,sobol_8082_1,v1,0.0739,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.619,1,29,42.1,0.958,1,822,16.358,13.741,0,30,5601,166642.8,85.22,14,12.85
8082,2,1786066353050,sobol_8082_2,v1,0.0739,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.619,0,33,49.87,0.667,1,0,12.919,12.919,1,30,6489,125090.8,100.0,7,8.6
8082,3,1786066354235,sobol_8082_3,v1,0.0739,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.619,0,19,95.71,0.975,1,0,12.209,12.209,1,30,6470,133331.3,100.0,13,14.74
8082,4,1786066355973,sobol_8082_4,v1,0.0739,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.619,1,17,59.46,0.802,1,2524,16.0,9.668,0,30,6536,325786.3,60.43,16,5.25
8083,0,1786066357289,sobol_8083_0,v1,0.0739,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.645,0,21,67.94,0.302,1,0,12.879,12.879,1,30,5645,128081.2,100.0,13,8.47
8083,1,1786066347043,sobol_8083_1,v1,0.0739,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.645,1,29,42.1,0.958,1,850,16.671,13.9,0,30,5601,171072.9,92.39,14,13.34
8083,2,1786066348310,sobol_8083_2,v1,0.0739,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.645,0,33,49.87,0.667,1,0,13.832,13.832,1,30,6489,137010.7,100.0,13,8.54
8083,3,1786066349701,sobol_8083_3,v1,0.0739,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.645,0,19,95.71,0.975,1,0,12.945,12.945,1,30,6470,143329.4,100.0,13,14.45
8083,4,1786066351691,sobol_8083_4,v1,0.0739,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.645,1,17,59.46,0.802,1,4816,16.0,3.918,0,30,6536,394231.3,24.49,16,5.35
8084,0,1786066352980,sobol_8084_0,v1,0.0532,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.619,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
8084,1,1786066354109,sobol_8084_1,v1,0.0532,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.619,1,29,42.1,0.958,1,845,16.492,13.761,0,30,5601,168438.3,88.28,14,13.27
8084,2,1786066355505,sobol_8084_2,v1,0.0532,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.619,0,33,49.87,0.667,1,0,13.791,13.791,1,30,6489,136687.8,100.0,13,8.61
8084,3,1786066356612,sobol_8084_3,v1,0.0532,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.619,0,19,95.71,0.975,1,0,12.98,12.98,1,30,6470,143748.2,100.0,13,14.73
8084,4,1786066348185,sobol_8084_4,v1,0.0532,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.619,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8085,0,1786066349288,sobol_8085_0,v1,0.0532,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.619,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
8085,1,1786066350482,sobol_8085_1,v1,0.0532,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.619,1,29,42.1,0.958,1,845,16.492,13.761,0,30,5601,168438.3,88.28,14,13.27
8085,2,1786066351607,sobol_8085_2,v1,0.0532,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.619,0,33,49.87,0.667,1,0,13.791,13.791,1,30,6489,136687.8,100.0,13,8.61
8085,3,1786066353074,sobol_8085_3,v1,0.0532,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.619,0,19,95.71,0.975,1,0,12.98,12.98,1,30,6470,143748.2,100.0,13,14.73
8085,4,1786066355474,sobol_8085_4,v1,0.0532,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.619,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8086,0,1786066356430,sobol_8086_0,v1,0.0739,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.645,0,21,67.94,0.302,1,0,12.879,12.879,1,30,5645,128081.2,100.0,13,8.47
8086,1,1786066357814,sobol_8086_1,v1,0.0739,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.645,1,29,42.1,0.958,1,850,16.671,13.9,0,30,5601,171072.9,92.39,14,13.34
8086,2,1786066347062,sobol_8086_2,v1,0.0739,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.645,0,33,49.87,0.667,1,0,13.832,13.832,1,30,6489,137010.7,100.0,13,8.54
8086,3,1786066348374,sobol_8086_3,v1,0.0739,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.645,0,19,95.71,0.975,1,0,12.945,12.945,1,30,6470,143329.4,100.0,13,14.45
8086,4,1786066350536,sobol_8086_4,v1,0.0739,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.645,1,17,59.46,0.802,1,4816,16.0,3.918,0,30,6536,394231.3,24.49,16,5.35
8087,0,1786066351545,sobol_8087_0,v1,0.0532,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.645,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
8087,1,1786066353026,sobol_8087_1,v1,0.0532,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.645,1,29,42.1,0.958,1,849,16.901,14.096,0,30,5601,173534.9,86.48,14,13.5
8087,2,1786066354309,sobol_8087_2,v1,0.0532,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.645,0,33,49.87,0.667,1,0,14.371,14.371,1,30,6489,144093.4,100.0,13,8.89
8087,3,1786066355611,sobol_8087_3,v1,0.0532,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.645,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8087,4,1786066357925,sobol_8087_4,v1,0.0532,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.645,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8088,0,1786066346916,sobol_8088_0,v1,0.0301,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.637,0,21,67.94,0.302,1,0,13.657,13.657,1,30,5645,133809.6,100.0,13,8.43
8088,1,1786066348284,sobol_8088_1,v1,0.0301,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.637,1,29,42.1,0.958,1,837,17.185,14.376,0,30,5601,176654.3,87.74,15,13.3
8088,2,1786066349612,sobol_8088_2,v1,0.0301,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.637,0,33,49.87,0.667,1,0,14.368,14.368,1,30,6489,144195.9,100.0,13,8.75
8088,3,1786066350643,sobol_8088_3,v1,0.0301,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.637,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8088,4,1786066353036,sobol_8088_4,v1,0.0301,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.637,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8089,0,1786066354030,sobol_8089_0,v1,0.0301,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.592,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
8089,1,1786066355378,sobol_8089_1,v1,0.0301,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.592,1,29,42.1,0.958,1,836,14.99,12.536,0,30,5601,149643.3,89.89,11,13.57
8089,2,1786066356455,sobol_8089_2,v1,0.0301,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.592,0,33,49.87,0.667,1,0,13.731,13.731,1,30,6489,135625.8,100.0,13,8.68
8089,3,1786066347136,sobol_8089_3,v1,0.0301,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.592,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8089,4,1786066349629,sobol_8089_4,v1,0.0301,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.592,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8090,0,1786066350609,sobol_8090_0,v1,0.062,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.637,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
8090,1,1786066351849,sobol_8090_1,v1,0.062,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.637,1,29,42.1,0.958,1,860,16.661,13.859,0,30,5601,170850.5,91.08,14,13.14
8090,2,1786066353225,sobol_8090_2,v1,0.062,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.637,0,33,49.87,0.667,1,0,13.993,13.993,1,30,6489,139227.2,100.0,13,8.71
8090,3,1786066354517,sobol_8090_3,v1,0.062,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.637,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8090,4,1786066356793,sobol_8090_4,v1,0.062,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.637,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8091,0,1786066357965,sobol_8091_0,v1,0.062,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.637,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
8091,1,1786066357844,sobol_8091_1,v1,0.062,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.637,1,29,42.1,0.958,1,860,16.661,13.859,0,30,5601,170850.5,91.08,14,13.14
8091,2,1786066358987,sobol_8091_2,v1,0.062,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.637,0,33,49.87,0.667,1,0,13.993,13.993,1,30,6489,139227.2,100.0,13,8.71
8091,3,1786066360323,sobol_8091_3,v1,0.062,0.938,0.2037,1.776,0.1844,0.02007,0.2352,0.00377,0.637,0,19,95.71,0.975,1,0,13.0,13.0,1,30,6470,144044.9,100.0,13,14.64
8091,4,1786066362562,sobol_8091_4,v1,0.062,0.306,0.1223,2.1293,0.4673,0.00824,0.0808,0.001329,0.637,1,17,59.46,0.802,1,6378,16.0,0.0,0,30,6536,423767.5,0.0,-1,5.52
8092,0,1786066363420,sobol_8092_0,v1,0.0301,0.3525,0.3577,1.8838,0.3128,0.00699,0.1708,0.002261,0.592,0,21,67.94,0.302,1,0,13.0,13.0,1,30,5645,129539.4,100.0,13,8.43
8092,1,1786066364805,sobol_8092_1,v1,0.0301,0.7087,0.3337,1.3505,0.3252,0.03127,0.2035,0.003472,0.592,1,29,42.1,0.958,1,836,14.99,12.536,0,30,5601,149643.3,89.89,11,13.57
8092,2,1786066365846,sobol_8092_2,v1,0.0301,0.3406,0.3024,2.3086,0.1552,0.02991,0.1513,0.002265,0.592,0,33,49.87,0.667,1,0,13.731,13.731,1,30,6489,135625.8,100.0,13,8.68
